Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,School,Guitar Chicago,150 n michigan ave ,False,False,THEFT,4190,903,1
2001,Restaurant,Baja Fresh,180 n michigan ave ,False,False,THEFT,4190,903,1
2001,Restaurant,Noodles & Company,180 n michigan ave ,False,False,THEFT,4190,903,1
2001,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,NARCOTICS,3825,3824,1
2001,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,NARCOTICS,3825,3824,1
2001,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Mezza,181 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Roma Pizza,105 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,NARCOTICS,3815,3814,1
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,NARCOTICS,3760,3759,1
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,NARCOTICS,3760,3759,1
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,NARCOTICS,3760,3759,1
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,NARCOTICS,3760,3759,1
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,NARCOTICS,3760,3759,1
2001,Grocery,Bockwinkel's,222 n columbus dr ,True,False,THEFT,3722,499,4
2001,Restaurant,Uncle Abe's Deli,122 s franklin st ,False,False,NARCOTICS,3560,3559,1
2001,Restaurant,Quizno's,128 s franklin st ,False,False,NARCOTICS,3560,3559,1
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,NARCOTICS,3551,3550,1
2001,Restaurant,Around the Corner,325 s franklin st ,False,False,NARCOTICS,3548,3548,1
2001,Restaurant,Pockets,329 s franklin st ,False,False,NARCOTICS,3548,3548,1
2001,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,NARCOTICS,3548,3548,1
2001,Restaurant,Petra Cafe,331 s franklin st ,False,False,NARCOTICS,3548,3548,1
2001,Restaurant,Quiznos,333 s franklin st ,False,False,NARCOTICS,3548,3548,1
2001,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,NARCOTICS,3508,3508,1
2001,Restaurant,The Green at Grant Park,352 e monroe st ,False,False,BATTERY,3469,706,1
2001,Restaurant,Indian Express,120 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Bombay Wraps,122 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Curried Loop,171 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Pierogi Heaven,169 n wells st ,False,False,NARCOTICS,3441,3440,1
2001,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,NARCOTICS,3427,3427,2
2001,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,NARCOTICS,3427,3427,2
2001,Restaurant,Au Bon Pain,125 s wacker dr ,False,False,BATTERY,3335,628,2
2001,Restaurant,Townhouse Restaurant & Wine Bar,111 s wacker dr ,False,False,BATTERY,3335,628,2
2001,Restaurant,South Branch,100 s wacker dr ,False,False,BATTERY,3335,628,2
2001,Restaurant,Pret A Manger,211 w adams st ,False,False,BATTERY,3311,606,2
2001,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,BATTERY,3311,606,2
2001,Restaurant,Sbarro,211 w adams st ,False,False,BATTERY,3311,606,2
2001,Restaurant,Cosi,230 w monroe st ,False,False,BATTERY,3267,613,3
2001,Restaurant,Bon Appetit,227 w monroe st ,False,True,BATTERY,3267,613,3
2001,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,BATTERY,3267,613,3
2001,Restaurant,Spa Cafe,112 w monroe st ,False,False,BATTERY,3254,624,1
2001,Restaurant,I Dream of Falafel,112 w monroe st ,False,False,BATTERY,3254,624,1
2001,Restaurant,Boston Blackies,120 s riverside plz ,False,False,BATTERY,3176,584,1
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,BATTERY,3174,620,9
2001,Restaurant,Pizzahut Express,225 s canal st ,False,False,BATTERY,3162,576,2
2001,Restaurant,Burrito Beach,210 s canal st ,False,False,BATTERY,3162,576,2
2001,Restaurant,Robinson's No 1 Ribs,225 s canal st ,False,False,BATTERY,3162,576,2
2001,Restaurant,Nino Paninos,225 s canal st ,False,False,BATTERY,3162,576,2
2001,Restaurant,Metro Deli & Cafe,210 s canal st ,True,False,BATTERY,3162,576,2
2001,Restaurant,Delmonico,111 w washington st ,False,False,BATTERY,3141,606,4
